objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
435595,False,1982.60.10,1982,True,https://images.metmuseum.org/CRDImages/ep/original/DT8844.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT8844.jpg,[],"[{'constituentID': 162799, 'role': 'Artist', 'name': 'Bachiacca (Francesco d&#39;Ubertino Verdi)', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500021332', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q7770', 'gender': ''}]",European Paintings,Painting,Madonna and Child,,,,,,Artist,,Bachiacca (Francesco d'Ubertino Verdi),"Italian, Florence 1494–1557 Florence",,Bachiacca (Francesco d'Ubertino Verdi),Italian,1494,1557,,https://www.wikidata.org/wiki/Q7770,http://vocab.getty.edu/page/ulan/500021332,possibly early 1520s,1520,1523,Oil and gold on wood,34 1/4 x 26 1/2 in. (87 x 67.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 87, 'Width': 67.3}}]","The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Paintings,,,2023-04-18T17:52:36.163Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435595,"[{'term': 'Madonna and Child', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000052', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9309699'}]",https://www.wikidata.org/wiki/Q19904854,False,537
435596,False,14.40.603,1914,True,https://images.metmuseum.org/CRDImages/ep/original/DP146473.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP146473.jpg,[],"[{'constituentID': 164185, 'role': 'Artist', 'name': 'Attributed to Jacob Backer', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500031967', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q19032', 'gender': ''}]",European Paintings,Painting,Old Woman in an Armchair,,,,,,Artist,Attributed to,Jacob Backer,"Dutch, Harlingen 1608–1651 Amsterdam",,"Backer, Jacob",Dutch,1608,1651,,https://www.wikidata.org/wiki/Q19032,http://vocab.getty.edu/page/ulan/500031967,,1629,1639,Oil on canvas,50 3/8 x 39 1/8 in. (128 x 99.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 128, 'Width': 99.4}}]","Bequest of Benjamin Altman, 1913",,,,,,,,,,,,Paintings,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435596,"[{'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",https://www.wikidata.org/wiki/Q19905253,False,
435597,False,29.100.2,1929,True,https://images.metmuseum.org/CRDImages/ep/original/DP121324.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP121324.jpg,[],"[{'constituentID': 164185, 'role': 'Artist', 'name': 'Style of Jacob Backer', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500031967', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q19032', 'gender': ''}]",European Paintings,Painting,Portrait of an Old Woman,,,,,,Artist,Style of,Jacob Backer,"Dutch, second quarter 17th century",,"Backer, Jacob",Dutch,1608,1651,,https://www.wikidata.org/wiki/Q19032,http://vocab.getty.edu/page/ulan/500031967,,1625,1649,Oil on wood,28 x 24 in. (71.1 x 61 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 71.1, 'Width': 61}}]","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,,2023-10-18T04:55:33.33Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435597,"[{'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",https://www.wikidata.org/wiki/Q19905326,False,
435598,False,1982.60.29,1982,True,https://images.metmuseum.org/CRDImages/ep/original/DP146464.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP146464.jpg,[],"[{'constituentID': 162809, 'role': 'Artist', 'name': 'Attributed to David Bailly', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500006781', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q724192', 'gender': ''}]",European Paintings,Painting,"Portrait of a Man, Possibly a Botanist",,,,,,Artist,Attributed to,David Bailly,"Dutch, Leiden 1584–1657 Leiden",,"Bailly, David",Dutch,1584,1657,,https://www.wikidata.org/wiki/Q724192,http://vocab.getty.edu/page/ulan/500006781,1641,1641,1641,Oil on wood,33 x 24 1/2 in. (83.8 x 62.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 83.8, 'Width': 62.2}}]","The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Paintings,,,2022-06-23T05:07:00.16Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435598,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}]",https://www.wikidata.org/wiki/Q19913068,False,542
435599,False,87.4.7,1887,True,https://images.metmuseum.org/CRDImages/ep/original/EP603.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/EP603.jpg,[],"[{'constituentID': 107333, 'role': 'Artist', 'name': 'Dionisio Baixeras y Verdaguer', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500002359', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q3028747', 'gender': ''}]",European Paintings,Painting,Boatmen of Barcelona,,,,,,Artist,,Dionisio Baixeras y Verdaguer,"Spanish, Barcelona 1862–1943 Barcelona",,"Baixeras y Verdaguer, Dionisio",Spanish,1862,1943,,https://www.wikidata.org/wiki/Q3028747,http://vocab.getty.edu/page/ulan/500002359,1886,1886,1886,Oil on canvas,59 x 83 in. (149.9 x 210.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 149.9, 'Width': 210.8}}, {'elementName': 'Frame', 'elementDescription': None, 'elementMeasurements': {'Depth': 14.605029, 'Height': 200.6604, 'Width': 262.89053}}]","Gift of George I. Seney, 1886",,,,,,,,,,,,Paintings,,,2021-07-09T04:39:37.2Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435599,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Boats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300178749', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q35872'}, {'term': 'Ships', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300082981', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q11446'}]",https://www.wikidata.org/wiki/Q19912725,False,
435600,True,1983.451,1983,True,https://images.metmuseum.org/CRDImages/ep/original/DP164867.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP164867.jpg,['https://images.metmuseum.org/CRDImages/ep/original/GermanCat2_IRRnocap1.jpg'],"[{'constituentID': 161645, 'role': 'Artist', 'name': 'Hans Baldung (called Hans Baldung Grien)', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500024290', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q164696', 'gender': ''}]",European Paintings,Painting,Saint John on Patmos,,,,,,Artist,,Hans Baldung (called Hans Baldung Grien),"German, Schwäbisch Gmünd (?) 1484/85–1545 Strasbourg",,"Baldung, Hans (called Hans Baldung Grien)",German,1484,1545,,https://www.wikidata.org/wiki/Q164696,http://vocab.getty.edu/page/ulan/500024290,ca. 1511,1506,1516,"Oil, gold, and white metal on spruce",Overall 35 1/4 x 30 1/4 in. (89.5 x 76.8 cm); painted surface 34 3/8 x 29 3/4 in. (87.3 x 75.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 89.5, 'Width': 76.8}}, {'elementName': 'Frame', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.16002, 'Height': 114.93523, 'Width': 103.187706}}]","Purchase, Rogers and Fletcher Funds; The Vincent Astor Foundation, The Dillon Fund, The Charles Engelhard Foundation, Lawrence A. Fleischman, Mrs. Henry J. Heinz II, The Willard T. C. Johnson Foundation Inc., Reliance Group Holdings Inc., Baron H. H. Thyssen-Bornemisza, and Mr. and Mrs. Charles Wrightsman Gifts; Joseph Pulitzer Bequest; special funds; and other gifts and bequests, by exchange, 1983",,,,,,,,,,,,Paintings,,,2023-11-17T04:57:18.463Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435600,"[{'term': 'Eagles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250049', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2092297'}, {'term': 'Madonna and Child', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000052', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9309699'}, {'term': 'Saint John the Evangelist', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001171', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q328804'}, {'term': 'Saints', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300150555', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q43115'}, {'term': 'Writing', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300054698', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q37260'}]",https://www.wikidata.org/wiki/Q19911455,True,607
435601,False,32.100.94,1932,True,https://images.metmuseum.org/CRDImages/ep/original/ep32.100.94.bw.R.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.94.bw.R.jpg,[],"[{'constituentID': 107339, 'role': 'Artist', 'name': 'Ercole Banci', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500092915', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q1348628', 'gender': ''}]",European Paintings,Painting,Madonna and Child,,,,,,Artist,,Ercole Banci,"Italian, Bolognese, active early 16th century",,"Banci, Ercole",Italian,1500,1529,,https://www.wikidata.org/wiki/Q1348628,http://vocab.getty.edu/page/ulan/500092915,,1500,1529,Tempera on wood,15 1/4 x 12 3/8 in. (38.7 x 31.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 38.7, 'Width': 31.4}}]","The Friedsam Collection, Bequest of Michael Friedsam, 1931",,,,,,,,,,,,Paintings,,,2022-08-19T04:54:33.997Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435601,"[{'term': 'Madonna and Child', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000052', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9309699'}]",https://www.wikidata.org/wiki/Q19912854,False,
435602,False,37.163.1–3,1937,True,https://images.metmuseum.org/CRDImages/ep/original/DP135400.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP135400.jpg,['https://images.metmuseum.org/CRDImages/ep/original/LC-37_163_1-3_suppl_001.jpg'],"[{'constituentID': 107340, 'role': 'Artist', 'name': 'Donato de&#39; Bardi', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500005883', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q3713796', 'gender': ''}]",European Paintings,"Painting, triptych",Madonna and Child with Saints Philip and Agnes,,,,,,Artist,,Donato de' Bardi,"Italian, Lombard, active by 1426–died 1450/51",,"Bardi, Donato de'",Italian,1426,1451,,https://www.wikidata.org/wiki/Q3713796,http://vocab.getty.edu/page/ulan/500005883,ca. 1425–30,1425,1430,"Tempera on wood, gold ground","Central panel, overall 23 1/2 x 13 1/8 in. (59.7 x 33.3 cm), painted surface 23 1/8 x 12 3/4 in. (58.7 x 32.4 cm); each wing, overall 23 5/8 x 6 in. (60 x 15.2 cm), painted surface 23 1/4 x 5 1/2 in. (59.1 x 14 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 59.7, 'Width': 33.3}}, {'elementName': 'Frame', 'elementDescription': None, 'elementMeasurements': {'Depth': 5.08, 'Height': 64.1351, 'Width': 73.6601}}]","Gift of Samuel H. Kress Foundation, 1937",,,,,,,,,,,,Paintings,,,2023-11-18T04:57:10.787Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435602,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Madonna and Child', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000052', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9309699'}, {'term': 'Saints', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300150555', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q43115'}]",https://www.wikidata.org/wiki/Q19911758,False,611
435603,False,81.1.656,1881,True,https://images.metmuseum.org/CRDImages/ep/original/ep81.1.656.R.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/ep81.1.656.R.jpg,[],"[{'constituentID': 161650, 'role': 'Artist', 'name': 'Charles Bargue', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500020513', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q771320', 'gender': ''}]",European Paintings,Painting,A Footman Sleeping,,,,,,Artist,,Charles Bargue,"French, Paris 1825/26–1883 Paris",,"Bargue, Charles",French,1825,1883,,https://www.wikidata.org/wiki/Q771320,http://vocab.getty.edu/page/ulan/500020513,1871,1871,1871,Oil on wood,13 3/4 x 10 1/4 in. (34.9 x 26 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 34.9, 'Width': 26}}, {'elementName': 'Frame', 'elementDescription': None, 'elementMeasurements': {'Depth': 8.255, 'Height': 61.5951, 'Width': 52.3876}}]","Bequest of Stephen Whitney Phoenix, 1881",,,,,,,,,,,,Paintings,,,2020-09-16T18:35:19.457Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435603,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Servants', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025874', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q54128'}, {'term': 'Sleeping', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375130', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q35831'}]",https://www.wikidata.org/wiki/Q19912727,False,
435604,False,87.15.102,1887,True,https://images.metmuseum.org/CRDImages/ep/original/DP-29211-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-29211-001.jpg,[],"[{'constituentID': 161650, 'role': 'Artist', 'name': 'Charles Bargue', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500020513', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q771320', 'gender': ''}]",European Paintings,Painting,A Bashi-Bazouk,,,,,,Artist,,Charles Bargue,"French, Paris 1825/26–1883 Paris",,"Bargue, Charles",French,1825,1883,,https://www.wikidata.org/wiki/Q771320,http://vocab.getty.edu/page/ulan/500020513,1875,1875,1875,Oil on canvas,18 1/4 x 13 1/8 in. (46.4 x 33.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 46.4, 'Width': 33.3}}, {'elementName': 'Frame', 'elementDescription': None, 'elementMeasurements': {'Depth': 14.605, 'Height': 83.8202, 'Width': 69.8501}}]","Catharine Lorillard Wolfe Collection, Bequest of Catharine Lorillard Wolfe, 1887",,,,,,,,,,,,Paintings,,,2023-09-21T04:54:50.817Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435604,"[{'term': 'Pipes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300248067', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q104526'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Orientalist', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300055784', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q765606'}]",https://www.wikidata.org/wiki/Q19905124,False,804
